Name,Time,X,Y,Layer,Observed,Computed,Weight,Group,Residual
H-78,3785.000000,2278732.978783,10434314.775178,12,6571.200000,6590.071817,1.000000,1,-18.871817
H-78,4139.000000,2278732.978783,10434314.775178,12,6578.200000,6590.748698,1.000000,1,-12.548698
H-78,4505.000000,2278732.978783,10434314.775178,12,6581.200000,6589.995476,1.000000,1,-8.795476
H-78,4870.000000,2278732.978783,10434314.775178,12,6583.200000,6589.497429,1.000000,1,-6.297429
H-78,5235.000000,2278732.978783,10434314.775178,12,6585.200000,6589.549881,1.000000,1,-4.349881
H-78,5600.000000,2278732.978783,10434314.775178,12,6582.200000,6590.180339,1.000000,1,-7.980339
H-78,5966.000000,2278732.978783,10434314.775178,12,6587.250000,6590.854326,1.000000,1,-3.604326
H-78,6315.000000,2278732.978783,10434314.775178,12,6589.260000,6590.774485,1.000000,1,-1.514485
H-78,6757.000000,2278732.978783,10434314.775178,12,6590.930000,6590.120068,1.000000,1,0.809932
H-78,7031.000000,2278732.978783,10434314.775178,12,6590.100000,6589.482569,1.000000,1,0.617431
H-78,7213.000000,2278732.978783,10434314.775178,12,6589.730000,6589.136084,1.000000,1,0.593916
H-78,8218.000000,2278732.978783,10434314.775178,12,6589.430000,6590.058998,1.000000,1,-0.628998
H-78,8522.000000,2278732.978783,10434314.775178,12,6587.050000,6589.822591,1.000000,1,-2.772591
H-78,8888.000000,2278732.978783,10434314.775178,12,6586.530000,6589.422397,1.000000,1,-2.892397
H-78,9314.000000,2278732.978783,10434314.775178,12,6585.070000,6588.908437,1.000000,1,-3.838437
H-78,9679.000000,2278732.978783,10434314.775178,12,6583.930000,6588.547361,1.000000,1,-4.617361
H-78,9800.000000,2278732.978783,10434314.775178,12,6585.250000,6588.428549,1.000000,1,-3.178549
H-78,10410.000000,2278732.978783,10434314.775178,12,6583.950000,6587.728299,1.000000,1,-3.778299
H-78,10714.000000,2278732.978783,10434314.775178,12,6583.000000,6587.262449,1.000000,1,-4.262449
